passID,timestamp,stationRef,vehicleRef,charge,date
VYU8307449,22/1/2020 00:32,AO12,YL27IFD65117,2.0,22/1/2020 
WTG2037377,22/1/2020 00:56,OO02,QR03XCJ37459,2.8,22/1/2020 
CNV7683794,22/1/2020 01:04,OO07,VJ92OYV94295,2.5,22/1/2020 
LFB6624645,22/1/2020 01:22,MR04,IN99SEN20660,2.5,22/1/2020 
ENC3313131,22/1/2020 02:41,KO06,MQ65WJJ60020,1.25,22/1/2020 
ZQY4965133,22/1/2020 02:46,EG06,XE59BZM26378,2.5,22/1/2020 
JPS2808998,22/1/2020 02:56,KO02,WY00MLL63827,1.0,22/1/2020 
WRF2419114,22/1/2020 03:45,KO06,FL13UMN92207,1.0,22/1/2020 
EYU0598036,22/1/2020 04:15,GF00,KW50MJG67260,2.2,22/1/2020 
WGM3419475,22/1/2020 07:15,MR03,JD78PQD35395,3.1,22/1/2020 
KXW1298901,22/1/2020 07:17,NE02,NZ35XLQ89678,1.5,22/1/2020 
NFQ9333476,22/1/2020 07:24,EG02,IX01MVL33676,3.1,22/1/2020 
QCM4099693,22/1/2020 07:25,AO18,DP11ENT03275,3.1,22/1/2020 
PLF0198891,22/1/2020 07:29,MR02,IZ65WAT29135,2.0,22/1/2020 
UAF5291842,22/1/2020 07:59,GF00,BY85QGR11636,2.5,22/1/2020 
TAZ1335769,22/1/2020 08:11,KO06,FY47TUN40300,2.2,22/1/2020 
VQE9241733,22/1/2020 08:13,KO03,RV87TIY76692,2.5,22/1/2020 
WZL8314186,22/1/2020 09:14,GF00,LM86GYO69819,2.8,22/1/2020 
CWE2665783,22/1/2020 11:35,NE14,AT19HLV57173,2.5,22/1/2020 
WRB8767682,22/1/2020 11:47,EG00,JD78PQD35395,1.0,22/1/2020 
PCE0661385,22/1/2020 12:46,MR02,BI87HYL81972,1.0,22/1/2020 
NYA7087846,22/1/2020 12:58,GF00,IO09FGE68100,2.8,22/1/2020 
EFP6343295,22/1/2020 14:21,GF00,PF04UCA93312,3.1,22/1/2020 
KXW0367259,22/1/2020 14:47,KO04,JO50FSF60755,2.2,22/1/2020 
AZY1162217,22/1/2020 14:56,GF00,PF04UCA93312,3.1,22/1/2020 
OXJ5897640,22/1/2020 15:50,AO18,DP11ENT03275,3.1,22/1/2020 
XDY0041698,22/1/2020 16:13,GF00,BY85QGR11636,2.5,22/1/2020 
EHD6506776,22/1/2020 16:53,MR07,KF48RSD79865,2.8,22/1/2020 
XJZ7594661,22/1/2020 18:51,AO11,FL13UMN92207,2.8,22/1/2020 
HAH6225368,22/1/2020 19:26,OO02,JF94VYA88954,2.8,22/1/2020 
HPB8881955,22/1/2020 19:54,MR04,HE38BQH01623,2.8,22/1/2020 
OTJ9685241,22/1/2020 19:54,NE07,PM58XHX45588,1.5,22/1/2020 
HZH4596066,22/1/2020 22:02,KO00,HE38BQH01623,1.0,22/1/2020 
ANX0065988,22/1/2020 22:09,AO10,BK77KNV91142,2.8,22/1/2020 
IYJ1904385,22/1/2020 22:49,AO09,PE73VJU23485,2.8,22/1/2020 
ZKZ5503695,22/1/2020 23:21,NE04,BK77KNV91142,2.5,22/1/2020 
ZIW3892345,22/1/2020 23:51,MR06,UA13YTK28483,2.8,22/1/2020 
